airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-06-15,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,7005
Jet Airways,2019-03-06,Banglore,New Delhi,20:35:00,08:15:00,700,1.0,No Info,16736
Jet Airways,2019-06-12,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,18:50:00,1465,2.0,No Info,12347
Indigo,2019-03-21,Delhi,Cochin,06:40:00,13:20:00,400,1.0,No Info,10208
Indigo,2019-05-01,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Air India,2019-04-06,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5176
Vistara,2019-04-15,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Air India,2019-06-03,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6934
Spicejet,2019-05-21,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Air India,2019-06-03,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,12488
Multiple Carriers,2019-03-27,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,6883
Jet Airways,2019-06-01,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,10262
Spicejet,2019-04-27,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,8073
Air India,2019-04-01,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No Info,12849
Spicejet,2019-05-12,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2017
Air India,2019-03-27,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,10178
Indigo,2019-04-21,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6015
Jet Airways,2019-06-15,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,10262
Air India,2019-04-01,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,12125
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,8610
Multiple Carriers,2019-06-24,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,12717
Air India,2019-03-12,Banglore,New Delhi,17:25:00,16:20:00,1375,2.0,No Info,12778
Indigo,2019-06-21,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,5406
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12373
Air India,2019-05-18,Kolkata,Banglore,17:30:00,20:25:00,1615,1.0,No Info,10623
Indigo,2019-04-18,Delhi,Cochin,14:20:00,17:35:00,195,0.0,No Info,6015
Jet Airways,2019-06-12,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,12898
Air India,2019-06-18,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,No Info,21954
Air Asia,2019-03-24,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No Info,6785
Indigo,2019-03-15,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,6144
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,12384
Air Asia,2019-05-12,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Jet Airways,2019-05-18,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,12373
Indigo,2019-06-03,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,6838
Jet Airways,2019-05-21,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,16079
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,In-flight meal not included,10539
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,14151
Air Asia,2019-06-09,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,13470
Jet Airways,2019-06-12,Delhi,Cochin,09:35:00,04:25:00,1130,2.0,No Info,13292
Air India,2019-04-01,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2050
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-12,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,6513
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,11:25:00,750,1.0,No Info,13817
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Air India,2019-03-06,Banglore,New Delhi,06:45:00,12:15:00,330,1.0,No Info,13912
Indigo,2019-06-03,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,5883
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,13344
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,8586
Indigo,2019-05-01,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3943
Air India,2019-06-09,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No Info,6528
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,12384
Air India,2019-06-09,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10151
Indigo,2019-05-09,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-03-01,Delhi,Cochin,00:20:00,15:30:00,910,1.0,No Info,23170
Multiple Carriers,2019-03-27,Delhi,Cochin,08:55:00,21:00:00,725,1.0,No Info,8055
Spicejet,2019-06-06,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2753
Vistara,2019-05-09,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,9555
Jet Airways,2019-06-01,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Vistara,2019-03-24,Kolkata,Banglore,20:20:00,22:10:00,1550,1.0,No Info,11105
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,16:20:00,1575,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-18,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,9205
Multiple Carriers,2019-06-01,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,11200
Spicejet,2019-04-24,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3971
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,12576
Jet Airways,2019-03-09,Delhi,Cochin,13:45:00,04:25:00,880,2.0,No Info,17019
Multiple Carriers,2019-05-15,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,8073
Indigo,2019-06-27,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No Info,6442
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,13:20:00,560,1.0,No Info,14973
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,15129
Air India,2019-05-09,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,13538
Air India,2019-03-06,Mumbai,Hyderabad,12:45:00,19:25:00,1840,2.0,No Info,13253
Multiple Carriers,2019-06-01,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7408
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,12898
Multiple Carriers,2019-03-27,Delhi,Cochin,09:45:00,22:20:00,755,1.0,No Info,6601
Air India,2019-05-18,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,13873
Indigo,2019-03-06,Delhi,Cochin,17:30:00,01:35:00,485,1.0,No Info,14871
Jet Airways,2019-05-09,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,15554
Air India,2019-03-09,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No Info,8851
Indigo,2019-03-09,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,4392
Air India,2019-03-03,Banglore,New Delhi,19:10:00,10:35:00,925,2.0,No Info,13355
Indigo,2019-04-09,Banglore,Delhi,05:30:00,08:20:00,170,0.0,No Info,3943
Air Asia,2019-04-27,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,3383
Indigo,2019-03-24,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No Info,4944
Multiple Carriers,2019-06-03,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,9001
Multiple Carriers,2019-03-06,Delhi,Cochin,04:45:00,18:50:00,845,1.0,No Info,13875
Indigo,2019-05-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,7923
Air India,2019-06-09,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Air Asia,2019-06-09,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,5645
Jet Airways,2019-06-06,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-24,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,13587
Jet Airways,2019-05-09,Delhi,Cochin,13:25:00,19:00:00,1775,2.0,No Info,15129
Jet Airways,2019-04-21,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Jet Airways,2019-05-27,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,13029
Goair,2019-03-24,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No Info,3898
Multiple Carriers,2019-03-27,Delhi,Cochin,04:00:00,15:30:00,690,1.0,No Info,6305
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,19:45:00,775,1.0,No Info,16289
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14781
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Indigo,2019-06-03,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,6069
Indigo,2019-05-24,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Indigo,2019-03-03,Delhi,Cochin,07:35:00,21:20:00,825,2.0,No Info,9413
Indigo,2019-05-27,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6600
Spicejet,2019-05-24,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-05-21,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,13029
Jet Airways,2019-06-15,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4050
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Air India,2019-04-01,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4460
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,12996
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,15353
Indigo,2019-03-27,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4148
Indigo,2019-03-06,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No Info,14871
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No Info,13067
Air India,2019-03-09,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,11622
Air India,2019-06-12,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,9416
Jet Airways,2019-06-27,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Air Asia,2019-04-09,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Air India,2019-04-27,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,No Info,14714
Indigo,2019-04-06,Delhi,Cochin,04:55:00,13:20:00,505,1.0,No Info,5307
Indigo,2019-06-09,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,10703
Indigo,2019-06-01,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,6593
Indigo,2019-06-21,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Multiple Carriers,2019-06-01,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,12524
Multiple Carriers,2019-06-24,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No Info,12524
Jet Airways,2019-06-01,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Spicejet,2019-03-09,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,6300
Vistara,2019-03-09,Delhi,Cochin,14:55:00,17:50:00,175,0.0,No Info,6741
Indigo,2019-03-24,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,No Info,2754
Spicejet,2019-03-24,Kolkata,Banglore,15:05:00,20:45:00,340,1.0,No Info,6197
Jet Airways,2019-05-21,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,15129
Jet Airways,2019-03-15,Banglore,New Delhi,07:00:00,07:40:00,1480,1.0,In-flight meal not included,7832
Jet Airways,2019-04-06,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,4886
Goair,2019-06-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,4959
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-03,Delhi,Cochin,07:05:00,13:20:00,375,1.0,No Info,17057
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,16:20:00,1150,1.0,No Info,13759
Air India,2019-04-06,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,4651
Air Asia,2019-04-06,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Indigo,2019-06-06,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,In-flight meal not included,10844
Spicejet,2019-04-15,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,5830
Air India,2019-04-21,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Trujet,2019-03-06,Mumbai,Hyderabad,13:05:00,16:20:00,195,1.0,No Info,4140
Indigo,2019-06-18,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,In-flight meal not included,6643
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,13029
Air Asia,2019-04-21,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,7452
Air India,2019-03-09,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,10321
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,13067
Air India,2019-05-01,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3625
Multiple Carriers,2019-06-01,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,8937
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,In-flight meal not included,9663
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,No Info,19225
Jet Airways,2019-06-15,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Air India,2019-03-06,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,15428
Air India,2019-03-03,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No Info,8588
Indigo,2019-03-03,Chennai,Kolkata,14:40:00,17:05:00,145,0.0,No Info,7295
Air India,2019-06-03,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,6961
Air Asia,2019-06-12,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6152
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,10262
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,6540
Multiple Carriers,2019-06-27,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,9646
Goair,2019-03-03,Delhi,Cochin,14:10:00,19:20:00,310,1.0,No Info,22794
Multiple Carriers,2019-06-27,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Indigo,2019-06-03,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Air India,2019-05-09,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No Info,12592
Air India,2019-05-24,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,11201
Indigo,2019-04-21,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Goair,2019-03-03,Banglore,New Delhi,15:45:00,20:15:00,270,1.0,No Info,8352
Air India,2019-06-06,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,13033
Indigo,2019-05-24,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,7006
Indigo,2019-06-01,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6442
Spicejet,2019-03-21,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No Info,4945
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,9508
Goair,2019-06-15,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,5281
Jet Airways,2019-05-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Air India,2019-05-21,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,10:25:00,690,1.0,No Info,13817
Indigo,2019-03-09,Delhi,Cochin,18:35:00,01:35:00,420,1.0,No Info,12351
Jet Airways,2019-05-18,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,12373
Air India,2019-03-01,Banglore,New Delhi,11:50:00,13:00:00,1510,1.0,1 Long layover,15434
Spicejet,2019-06-24,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Jet Airways,2019-04-09,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Air Asia,2019-06-09,Kolkata,Banglore,07:35:00,23:30:00,955,1.0,No Info,7870
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,14848
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,04:25:00,555,2.0,In-flight meal not included,8456
Indigo,2019-05-01,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,12384
Indigo,2019-05-27,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,7164
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,23:35:00,1655,1.0,In-flight meal not included,10844
Air India,2019-05-21,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,11911
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,20:20:00,875,1.0,No Info,27992
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13941
Indigo,2019-03-27,Delhi,Cochin,20:30:00,01:35:00,305,1.0,No Info,5073
Spicejet,2019-04-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3971
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,No Info,14571
Indigo,2019-05-21,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Spicejet,2019-05-21,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3625
Indigo,2019-05-12,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Jet Airways,2019-05-09,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,15554
Spicejet,2019-05-21,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3573
Indigo,2019-03-21,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No Info,5406
Jet Airways,2019-05-09,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Air India,2019-06-27,Delhi,Cochin,13:15:00,07:40:00,1105,2.0,No Info,13547
Air India,2019-06-12,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No Info,11542
